Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
38,-,52,2,0,73.07,4,bowled,1,Pakistan,Karachi,06-Oct-04,ODI # 2185
DNB,-,-,-,-,-,-,-,2,Zimbabwe,Rawalpindi,09-Oct-04,ODI # 2186
69,105,82,8,0,84.14,4,stumped,1,Pakistan,Lahore,14-Oct-04,ODI # 2187
68,106,69,7,0,98.55,4,bowled,1,Pakistan,Lahore,16-Oct-04,ODI # 2188
1,5,5,0,0,20,4,caught,1,New Zealand,Auckland,26-Dec-04,ODI # 2200
24,33,24,3,0,100,6,caught,2,ICC World XI,Melbourne,10-Jan-05,ODI # 2203
14,20,16,2,0,87.5,1,lbw,2,India,Dambulla,30-Jul-05,ODI # 2262
79,131,115,9,0,68.69,3,caught,1,West Indies,Dambulla,02-Aug-05,ODI # 2264
16,39,30,3,0,53.33,3,lbw,2,India,Dambulla,03-Aug-05,ODI # 2265
7,22,17,0,0,41.17,3,caught,2,West Indies,Colombo (RPS),06-Aug-05,ODI # 2266
8,27,12,1,0,66.66,4,caught,1,India,Colombo (RPS),09-Aug-05,ODI # 2268
35,114,80,6,0,43.75,1,bowled,2,Africa XI,Centurion,17-Aug-05,ODI # 2269
61,97,70,9,1,87.14,3,caught,1,Africa XI,Durban,20-Aug-05,ODI # 2270
1*,9,6,0,0,16.66,3,not out,2,Africa XI,Durban,21-Aug-05,ODI # 2271
22,36,33,0,0,66.66,4,caught,1,Bangladesh,Colombo (SSC),31-Aug-05,ODI # 2275
28,31,24,2,0,116.66,5,caught,1,Bangladesh,Colombo (RPS),02-Sep-05,ODI # 2277
17*,16,14,2,0,121.42,5,not out,2,Bangladesh,Colombo (RPS),04-Sep-05,ODI # 2279
64,126,94,7,0,68.08,1,caught,2,Australia,Melbourne (Docklands),05-Oct-05,ODI # 2282
61,84,44,9,1,138.63,3,run out,2,Australia,Melbourne (Docklands),07-Oct-05,ODI # 2283
13,15,15,2,0,86.66,3,caught,2,Australia,Melbourne (Docklands),09-Oct-05,ODI # 2284
43,41,37,4,2,116.21,3,caught,2,India,Nagpur,25-Oct-05,ODI # 2286
27,59,31,4,0,87.09,1,caught,1,India,Mohali,28-Oct-05,ODI # 2287
138*,210,147,13,2,93.87,1,not out,1,India,Jaipur,31-Oct-05,ODI # 2290
8,16,10,1,0,80,1,lbw,1,India,Pune,03-Nov-05,ODI # 2291
39,85,69,5,0,56.52,1,caught,2,India,Ahmedabad,06-Nov-05,ODI # 2294
9,15,13,2,0,69.23,3,caught,1,India,Rajkot,09-Nov-05,ODI # 2295
32,101,58,4,0,55.17,3,caught,1,India,Vadodara,12-Nov-05,ODI # 2296
0,6,6,0,0,0,3,caught,1,New Zealand,Queenstown,31-Dec-05,ODI # 2309
36,89,57,4,0,63.15,3,run out,1,New Zealand,Christchurch,03-Jan-06,ODI # 2310
52,49,46,9,0,113.04,3,bowled,2,New Zealand,Wellington,06-Jan-06,ODI # 2311
58,118,79,7,0,73.41,3,caught,1,New Zealand,Napier,08-Jan-06,ODI # 2312
16,35,31,2,0,51.61,4,caught,2,Australia,Melbourne (Docklands),13-Jan-06,ODI # 2313
88,145,109,10,0,80.73,3,caught,1,South Africa,Brisbane,17-Jan-06,ODI # 2315
78,132,95,7,0,82.1,3,caught,1,Australia,Sydney,22-Jan-06,ODI # 2317
23,41,31,4,0,74.19,3,caught,2,South Africa,Adelaide,24-Jan-06,ODI # 2318
25,46,37,1,1,67.56,3,bowled,1,Australia,Adelaide,26-Jan-06,ODI # 2319
6,19,11,0,0,54.54,3,run out,1,Australia,Perth,29-Jan-06,ODI # 2320
16,40,24,1,0,66.66,3,caught,1,South Africa,Perth,31-Jan-06,ODI # 2321
62,113,77,5,0,80.51,3,caught,1,South Africa,Hobart,07-Feb-06,ODI # 2325
