Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,
25,63,42,4,0,59.52,4,caught,1,South Africa,St George's,06-May-01,ODI # 1715
92,182,125,9,0,73.6,3,bowled,1,South Africa,Bridgetown,09-May-01,ODI # 1716
41,68,63,5,0,65.07,3,run out,2,South Africa,Port of Spain,12-May-01,ODI # 1717
18,55,33,2,0,54.54,3,caught,2,South Africa,Kingstown,16-May-01,ODI # 1718
2,15,9,0,0,22.22,3,lbw,1,Zimbabwe,Colombo (SSC),09-Dec-01,ODI # 1777
60,72,53,6,2,113.2,3,lbw,1,Sri Lanka,Colombo (RPS),11-Dec-01,ODI # 1778
24*,48,29,4,0,82.75,3,retired notout,1,Sri Lanka,Kandy,15-Dec-01,ODI # 1780
5,14,10,1,0,50,4,caught,1,India,Bridgetown,29-May-02,ODI # 1836
4*,13,17,0,0,23.52,4,not out,2,India,Port of Spain,01-Jun-02,ODI # 1837
36,95,69,1,0,52.17,4,caught,2,India,Port of Spain,02-Jun-02,ODI # 1838
TDNB,-,-,-,-,-,-,-,-,New Zealand,Kingston,05-Jun-02,ODI # 1839
9*,12,5,1,0,180,6,not out,2,New Zealand,Gros Islet,08-Jun-02,ODI # 1840
59*,104,80,5,1,73.75,4,not out,2,New Zealand,Gros Islet,09-Jun-02,ODI # 1841
0,7,5,0,0,0,3,caught,2,New Zealand,Port of Spain,12-Jun-02,ODI # 1843
47,76,59,5,0,79.66,3,caught,2,New Zealand,Kingstown,16-Jun-02,ODI # 1845
21,52,33,3,0,63.63,3,caught,1,South Africa,Colombo (SSC),13-Sep-02,ODI # 1875
111,137,120,8,2,92.5,3,bowled,1,Kenya,Colombo (SSC),17-Sep-02,ODI # 1879
116,181,134,12,2,86.56,3,caught,1,South Africa,Cape Town,09-Feb-03,ODI # 1942
2,4,4,0,0,50,3,run out,2,New Zealand,Port Elizabeth,13-Feb-03,ODI # 1949
46,111,76,5,0,60.52,3,caught,1,Bangladesh,Benoni,18-Feb-03,ODI # 1956
73,60,40,8,5,182.5,3,bowled,2,Canada,Centurion,23-Feb-03,ODI # 1963
1,23,22,0,0,4.54,3,caught,2,Sri Lanka,Cape Town,28-Feb-03,ODI # 1973
10,24,30,0,0,33.33,3,caught,1,Kenya,Kimberley,04-Mar-03,ODI # 1981
23,43,28,3,0,82.14,4,caught,2,Australia,Kingston,17-May-03,ODI # 2011
5,25,12,0,0,41.66,4,caught,1,Australia,Kingston,18-May-03,ODI # 2013
