Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,ODINo
63*,91,57,6,0,110.52,3,not out,2,England,Indore,15-Apr-06,ODI # 2362
7,15,4,1,0,175,4,caught,1,Pakistan,Abu Dhabi,18-Apr-06,ODI # 2363
24,16,10,3,1,240,4,caught,1,Pakistan,Abu Dhabi,19-Apr-06,ODI # 2364
12,30,28,1,0,42.85,4,caught,2,West Indies,Kingston,18-May-06,ODI # 2377
93,190,121,8,1,76.85,4,bowled,2,West Indies,Kingston,20-May-06,ODI # 2379
52,-,78,5,0,66.66,4,caught,1,West Indies,Port of Spain,26-May-06,ODI # 2381
26,-,30,2,0,86.66,5,bowled,2,West Indies,Port of Spain,28-May-06,ODI # 2382
DNB,-,-,-,-,-,-,-,1,Sri Lanka,Colombo (SSC),18-Aug-06,ODI # 2405
0,6,3,0,0,0,5,caught,2,Australia,Kuala Lumpur,16-Sep-06,ODI # 2416
0,5,4,0,0,0,5,caught,1,West Indies,Kuala Lumpur,20-Sep-06,ODI # 2419
27*,88,61,4,0,44.26,5,not out,2,England,Jaipur,15-Oct-06,ODI # 2429
27,55,43,4,0,62.79,5,caught,1,West Indies,Ahmedabad,26-Oct-06,ODI # 2437
10,29,21,1,0,47.61,6,caught,1,West Indies,Chennai,27-Jan-07,ODI # 2487
DNB,-,-,-,-,-,-,-,1,West Indies,Vadodara,31-Jan-07,ODI # 2493
21,50,31,4,0,67.74,4,caught,2,Sri Lanka,Margao,14-Feb-07,ODI # 2522
95*,91,83,11,3,114.45,5,not out,2,Sri Lanka,Visakhapatnam,17-Feb-07,ODI # 2525
47,60,58,3,1,81.03,6,caught,1,Bangladesh,Port of Spain,17-Mar-07,ODI # 2538
83,52,46,3,7,180.43,5,caught,1,Bermuda,Port of Spain,19-Mar-07,ODI # 2542
6,15,12,0,0,50,6,run out,2,Sri Lanka,Port of Spain,23-Mar-07,ODI # 2550
1,11,9,0,0,11.11,4,caught,2,Bangladesh,Dhaka,10-May-07,ODI # 2582
24,21,22,2,2,109.09,4,caught,1,Bangladesh,Dhaka,12-May-07,ODI # 2583
31,38,30,3,0,103.33,6,caught,1,Africa XI,Bengaluru,06-Jun-07,ODI # 2587
30*,19,13,3,2,230.76,7,not out,1,Africa XI,Chennai,09-Jun-07,ODI # 2588
31,54,35,6,0,88.57,4,bowled,1,Africa XI,Chennai,10-Jun-07,ODI # 2589
DNB,-,-,-,-,-,-,-,2,Ireland,Belfast,23-Jun-07,ODI # 2590
13,15,12,1,0,108.33,5,caught,1,South Africa,Belfast,26-Jun-07,ODI # 2592
49*,83,63,4,1,77.77,4,not out,2,South Africa,Belfast,29-Jun-07,ODI # 2593
61*,94,82,6,1,74.39,5,not out,2,South Africa,Belfast,01-Jul-07,ODI # 2595
38,-,28,5,1,135.71,4,bowled,2,Scotland,Glasgow,16-Aug-07,ODI # 2608
0,1,4,0,0,0,5,caught,2,England,Southampton,21-Aug-07,ODI # 2611
49,94,53,6,0,92.45,3,caught,1,England,Bristol,24-Aug-07,ODI # 2613
45,67,39,4,1,115.38,5,run out,2,England,Birmingham,27-Aug-07,ODI # 2616
71,134,104,5,1,68.26,5,bowled,1,England,Manchester,30-Aug-07,ODI # 2617
72,72,57,10,2,126.31,4,caught,1,England,Leeds,02-Sep-07,ODI # 2618
18,28,24,1,0,75,4,caught,2,England,The Oval,05-Sep-07,ODI # 2619
28,77,48,1,1,58.33,5,caught,1,England,Lord's,08-Sep-07,ODI # 2620
DNB,-,-,-,-,-,-,-,2,Australia,Bengaluru,29-Sep-07,ODI # 2621
10,14,10,0,1,100,4,caught,2,Australia,Kochi,02-Oct-07,ODI # 2623
